Action Log (Action list),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Module,Sub module,,Module,Action,X-CURRENT-PATH,X-CURRENT-MENU,X-CURRENT-SUB-MENU,X-CURRENT-PAYLOAD,METHOD,Endpoint,,ชื่อเมนูที่ใช้งาน,หัวข้อย่อย,การเข้าถึง,เลขที่เอกสาร
ข่าวสาร,,,,,,,,,,,,,,,
งาน,ประเมินหลักทรัพย์,,,,,,,,,,,,,,
,ติดตามทวงถาม,,,,,,,,,,,,,,
แดชบอร์ด,,,,,,,,,,,,,,,
รายงาน,,,,,,,,,,,,,,,
สัญญา,,,,,,,,,,,,,,,
,,,,สร้าง,api/v1/management/customer-document,CUSTOMER,เอกสารส่วนตัว,,POST,api/v1/management/customer-document,,ลูกค้า,,ดู,
,,,,แก้ไข,api/v1/management/customer-document/:id,CUSTOMER,เอกสารส่วนตัว,,PUT,api/v1/management/customer-document/:id,,ลูกค้า,,ดู,
,,,,ลบ,api/v1/management/customer-document/:id,CUSTOMER,เอกสารส่วนตัว,,DELETE,api/v1/management/customer-document/:id,,ลูกค้า,,ดู,
,,,,ดู,api/v1/management/customer/9/contracts,CUSTOMER,สัญญา,,GET,api/v1/management/customer/9/contracts,,ลูกค้า,,ดู,
,,,,ดู,api/v1/management/customer/9/receipts,CUSTOMER,ประวัติการชำระเงิน,,GET,api/v1/management/customer/9/receipts,,ลูกค้า,,ดู,
,,,,ดู,api/v1/management/customer/9/contact-histories,CUSTOMER,ประวัติการติดต่อ,,GET,api/v1/management/customer/9/contact-histories,,ลูกค้า,,ดู,
,,,,ดู,api/v1/management/customer/9/assets,CUSTOMER,หลักทรัพย์,,GET,api/v1/management/customer/9/assets,,ลูกค้า,,ดู,
,,,,,,,,,,,,,,,
,,,Module,Action,X-CURRENT-PATH,X-CURRENT-MENU,X-CURRENT-SUB-MENU,X-CURRENT-PAYLOAD,METHOD,Endpoint,,ชื่อเมนูที่ใช้งาน,หัวข้อย่อย,การเข้าถึง,เลขที่เอกสาร
,,,หลักทรัพย์,ดู,api/v1/management/contract-assets,CONTRACT-ASSETS,,,GET,api/v1/management/contract-assets,,หลักทรัพย์,,ดู,
,,,,ดู,api/v1/management/contract-assets/document-movement/14,CONTRACT-ASSETS,ประวัติการจัดเก็บเอกสาร,,GET,api/v1/management/contract-assets/document-movement/14,,หลักทรัพย์,,ดู,
,,,,แก้ไข,api/v1/management/contract-assets/status/2,CONTRACT-ASSETS,แก้ไขสถานะหลักทรัพย์,,PATCH,api/v1/management/contract-assets/status/2,,หลักทรัพย์,,ดู,
,,,,แก้ไข,/api/v1/management/contract-assets/2/sell,CONTRACT-ASSETS,ขายต่อ/ประมูล,,PATCH,/api/v1/management/contract-assets/2/sell,,หลักทรัพย์,,ดู,
,,,,,,,,,,,,,,,
,,,Module,Action,X-CURRENT-PATH,X-CURRENT-MENU,X-CURRENT-SUB-MENU,X-CURRENT-PAYLOAD,METHOD,Endpoint,,ชื่อเมนูที่ใช้งาน,หัวข้อย่อย,การเข้าถึง,เลขที่เอกสาร
,,,เอกสารและการเงิน,ดู,api/v1/management/invoice,DOCUMENT-FINANCE,ใบแจ้งหนี้,,GET,api/v1/management/contract-assets,,เอกสารและการเงิน,,ดู,
,,,,ดูรายละเอียด,api/v1/management/invoice/1,DOCUMENT-FINANCE,ใบแจ้งหนี้,,GET,api/v1/management/invoice/1,,เอกสารและการเงิน,,ดู,
,,,,ดู,api/v1/management/receipt,DOCUMENT-FINANCE,ใบเสร็จรับเงิน,,GET,api/v1/management/receipt,,เอกสารและการเงิน,,ดู,
,,,,สร้าง,api/v1/management/receipt,DOCUMENT-FINANCE,ใบเสร็จรับเงิน > ชำระเงิน/ออกใบเสร็จใหม่,,POST,api/v1/management/receipt,,เอกสารและการเงิน,,ดู,
,,,,ดูรายละเอียด,api/v1/management/receipt/:id,DOCUMENT-FINANCE,ใบเสร็จรับเงิน,,GET,api/v1/management/receipt/:id,,เอกสารและการเงิน,,ดู,
,,,,ดู,api/v1/management/record-expense,DOCUMENT-FINANCE,บันทึกค่าใช้จ่าย,,GET,api/v1/management/record-expense,,เอกสารและการเงิน,,ดู,
,,,,สร้าง,api/v1/management/record-expense,DOCUMENT-FINANCE,บันทึกค่าใช้จ่าย > เพิ่มบันทึกค่าใช้จ่ายใหม่,,POST,api/v1/management/record-expense,,เอกสารและการเงิน,,ดู,
,,,,ดูรายละเอียด,api/v1/management/record-expense/16,DOCUMENT-FINANCE,บันทึกค่าใช้จ่าย,,GET,api/v1/management/record-expense/16,,เอกสารและการเงิน,,ดู,
,,,,แก้ไข,api/v1/management/record-expense/16,DOCUMENT-FINANCE,บันทึกค่าใช้จ่าย,,PUT,api/v1/management/record-expense/16,,เอกสารและการเงิน,,ดู,
,,,,ลบ,api/v1/management/record-expense/16,DOCUMENT-FINANCE,บันทึกค่าใช้จ่าย,,DELETE,api/v1/management/record-expense/16,,เอกสารและการเงิน,,ดู,
,,,,,,,,,,,,,,,
,,,Module,Action,X-CURRENT-PATH,X-CURRENT-MENU,X-CURRENT-SUB-MENU,X-CURRENT-PAYLOAD,METHOD,Endpoint,,ชื่อเมนูที่ใช้งาน,หัวข้อย่อย,การเข้าถึง,เลขที่เอกสาร
,,,การจัดเก็บ,ดู,api/v1/management/document-storages/assets,DOCUMENT-STORAGE,รายการเอกสารหลักทรัพย์,,GET,api/v1/management/document-storages/assets,,การจัดเก็บ,,ดู,
,,,,ดู,api/v1/management/document-storages/movement,DOCUMENT-STORAGE,ย้ายเอกสาร,,GET,api/v1/management/document-storages/movement,,การจัดเก็บ,,ดู,
,,,,สร้าง,api/v1/management/document-storages/movement,DOCUMENT-STORAGE,ย้ายเอกสาร > สร้างการย้ายเอกสารใหม่,,POST,api/v1/management/document-storages/movement,,การจัดเก็บ,,ดู,
,,,,ดูรายละเอียด,api/v1/management/document-storages/movement/14,DOCUMENT-STORAGE,ย้ายเอกสาร > รับเอกสาร,,PUT,api/v1/management/document-storages/movement/14,,การจัดเก็บ,,ดู,
,,,,แก้ไข,api/v1/management/document-storages/movement/14,DOCUMENT-STORAGE,ย้ายเอกสาร > ยกเลิกเอกสาร,,DELETE,api/v1/management/document-storages/movement/14,,การจัดเก็บ,,ดู,
